#,gamma,,,proton,,
 #x(mm) ,        E(MeV) ,       Edep(MeV) ,, #x(mm) ,        E(MeV) ,       Edep(MeV) 
2472.5,0,0,,494.5,0,0
2477.5,0,0,,495.5,0,0
2482.5,0,0,,496.5,0,0
2487.5,0,0,,497.5,0,0
2492.5,0,0,,498.5,0,0
2497.5,0,0,,499.5,0,0
2502.5,0,0,,500.5,0,0
2507.5,0,0,,,,
2512.5,0,0,,,,
2517.5,0,0,,,,
2522.5,0,0,,,,
2527.5,0,0,,,,
2532.5,0,0,,,,
2537.5,0,0,,,,
2542.5,0,0,,,,
2547.5,0,0,,,,
2552.5,0,0,,,,
2557.5,0,0,,,,
2562.5,0,0,,,,
2567.5,0,0,,,,
2572.5,0,0,,,,
2577.5,0,0,,,,
2582.5,0,0,,,,
2587.5,0,0,,,,
2592.5,0,0,,,,
2597.5,0,0,,,,
2602.5,0,0,,,,
2607.5,0,0,,,,
2612.5,0,0,,,,
2617.5,0,0,,,,
2622.5,0,0,,,,
2627.5,0,0,,,,
2632.5,0,0,,,,
2637.5,0,0,,,,
2642.5,0,0,,,,
2647.5,0,0,,,,
2652.5,0,0,,,,
2657.5,0,0,,,,
2662.5,0,0,,,,
2667.5,0,0,,,,
2672.5,0,0,,,,
2677.5,0,0,,,,
2682.5,0,0,,,,
2687.5,0,0,,,,
2692.5,0,0,,,,
2697.5,0,0,,,,
2702.5,0,0,,,,
2707.5,0,0,,,,
2712.5,0,0,,,,
2717.5,0,0,,,,
2722.5,0,0,,,,
2727.5,0,0,,,,
2732.5,0,0,,,,
2737.5,0,0,,,,
2742.5,0,0,,,,
2747.5,0,0,,,,
2752.5,0,0,,,,
2757.5,0,0,,,,
2762.5,0,0,,,,
2767.5,0,0,,,,
2772.5,0,0,,,,
2777.5,0,0,,,,
2782.5,0,0,,,,
2787.5,0,0,,,,
2792.5,0,0,,,,
2797.5,0,0,,,,
2802.5,0,0,,,,
2807.5,0,0,,,,
2812.5,0,0,,,,
2817.5,0,0,,,,
2822.5,0,0,,,,
2827.5,0,0,,,,
2832.5,0,0,,,,
2837.5,0,0,,,,
2842.5,0,0,,,,
2847.5,0,0,,,,
2852.5,0,0,,,,
2857.5,0,0,,,,
2862.5,0,0,,,,
2867.5,0,0,,,,
2872.5,0,0,,,,
2877.5,0,0,,,,
2882.5,0,0,,,,
2887.5,0,0,,,,
2892.5,0,0,,,,
2897.5,0,0,,,,
2902.5,0,0,,,,
2907.5,0,0,,,,
2912.5,0,0,,,,
2917.5,0,0,,,,
2922.5,0,0,,,,
2927.5,0,0,,,,
2932.5,0,0,,,,
2937.5,0,0,,,,
2942.5,0,0,,,,
2947.5,0,0,,,,
2952.5,0,0,,,,
2957.5,0,0,,,,
2962.5,0,0,,,,
2967.5,0,0,,,,
2972.5,0,0,,,,
2977.5,0,0,,,,
2982.5,0,0,,,,
2987.5,0,0,,,,
2992.5,0,0,,,,
2997.5,0,0,,,,
3002.5,0,0,,,,
